"V1" "V2" "V3"
"1" 21.73362159729 15.920280456543 7.44358444213867
"2" 22.3748 15.831 7.3238
"3" 23.0176 15.8928 7.2166
"4" 23.6598 15.8467 7.0954
"5" 24.2993 15.8825 6.9519
"6" 24.9479 15.8857 6.8432
"7" 25.5986 15.8781 6.7432
"8" 26.2506 15.84 6.6603
"9" 26.891 15.8625 6.5111
"10" 27.5283 15.8636 6.347
"11" 28.1666 15.8758 6.1871
"12" 28.8078 15.8369 6.0452
"13" 29.4415664672852 15.7871561050415 5.87449645996094
"14" 32.9984893798828 12.5414628982544 6.168776512146
"15" 29.7303485870361 14.0194664001465 5.80700159072876
"16" 23.9663562774658 14.298770904541 9.08199501037598
"17" 28.9631881713867 5.30566883087158 5.97289180755615
"18" 27.9702 4.9389 5.882
"19" 26.9373 4.74 6.1092
"20" 25.9418 4.7322 6.5254
"21" 25.0494 4.8397 7.1193
"22" 24.3547 4.9479 7.9124
"23" 24.0065 5.2055 8.8927
"24" 24.0672 5.3883 9.9494
"25" 24.493 5.538 10.9164
"26" 25.2781 5.5874 11.6395
"27" 26.2649 5.6647 12.036
"28" 27.3311 5.8023 12.0955
"29" 28.3486 5.9707 11.8466
"30" 29.1842 6.1301 11.2244
"31" 29.5593 6.0346 10.3304
"32" 29.3909 5.6617 9.3325
"33" 29.7237148284912 5.55256271362305 8.31343746185303
"34" 29.7237148284912 5.55256271362305 8.31343746185303
"35" 28.9631881713867 5.30566883087158 5.97289180755615
"36" 14.8907794952393 7.46792316436768 5.7972412109375
"37" 15.0815 7.4591 6.8606
"38" 15.4238 6.9958 7.7454
"39" 16.0507 6.6837 8.5687
"40" 16.7025 6.3488 9.3676
"41" 17.5325 6.0684 9.9973
"42" 18.5294 5.7804 9.8855
"43" 19.5498 5.5383 10.0919
"44" 20.5638 5.3793 10.2866
"45" 21.3408 5.2224 9.6803
"46" 22.0334 4.9689 8.9031
"47" 22.5948 4.8335 7.9834
"48" 23.3307 4.7704 7.1887
"49" 24.1756 4.6282 6.5242
"50" 25.105 4.623 5.9606
"51" 26.0471 4.6523 5.4243
"52" 26.9284572601318 4.71963596343994 4.79365921020508
"53" 34.4627380371094 14.4319124221802 11.8900299072266
"54" 2.74556541442871 16.2141990661621 12.0619173049927
"55" 2.8934 15.3756 12.1928
"56" 3.0631 14.5738 12.396
"57" 3.305 13.8311 12.0611
"58" 3.6772 13.1986 11.6402
"59" 3.8864 12.9065 10.8686
"60" 3.678 12.9953 10.0633
"61" 3.3661 13.2035 9.2964
"62" 3.0452 13.5929 8.6029
"63" 2.6746 14.1839 8.1172
"64" 2.4675 14.9998 8.0698
"65" 2.33782768249512 15.8133316040039 8.33467102050781
"66" 28.6642227172852 11.6552495956421 6.27832508087158
"67" 10.8613986968994 11.3857650756836 15.3701105117798
"68" 12.749153137207 10.0784273147583 15.4502506256103
"69" 15.9128847122192 11.7203798294067 16.7612648010254
"70" 35.3373756408691 16.2372455596924 12.7291564941406
"71" 35.1364 15.4999 12.5619
"72" 34.7672 14.8927 12.2356
"73" 34.3347 14.4453 11.7608
"74" 34.002 13.9239 11.2834
"75" 33.6139 13.5273 10.7674
"76" 33.2814 13.5574 10.0794
"77" 33.3922 13.7198 9.3195
"78" 33.5744 14.0234 8.623
"79" 33.794 14.5692 8.1128
"80" 34.1707 15.1834 7.8048
"81" 34.4951248168945 15.8759632110596 7.80157136917114
"82" 17.7099571228027 6.27791547775269 12.0659618377686
"83" 14.8907794952393 7.46792316436768 5.7972412109375
"84" 14.0823 7.899 5.3823
"85" 13.2392 8.3781 5.1165
"86" 12.3695 8.8604 4.9621
"87" 11.4908 9.3477 4.899
"88" 10.5842 9.7806 4.9257
"89" 9.6858 10.2328 4.9345
"90" 8.8019 10.703 5.0305
"91" 7.9223 11.1786 5.1521
"92" 7.0566 11.6874 5.1978
"93" 6.1765 12.1723 5.27
"94" 5.334 12.7182 5.3312
"95" 4.5191 13.3074 5.3574
"96" 3.7617 13.9554 5.2148
"97" 3.1683 14.714 4.9375
"98" 2.72897100448608 15.5792322158813 4.67400360107422
"99" 27.1798629760742 8.51172161102295 3.82240962982178
"100" 26.9079 7.9443 4.134
"101" 27.1464 7.2897 4.4217
"102" 27.3958 6.6247 4.6792
"103" 27.2671 5.9057 4.6929
"104" 27.3826 5.2688 4.3676
"105" 27.9594 4.9756 3.9828
"106" 28.668 5.0352 3.7407
"107" 28.9971 5.5236 3.843
"108" 29.0601 6.2552 4.0286
"109" 29.0116 6.9348 3.7522
"110" 28.7027 7.456 3.2992
"111" 28.3854 8.1325 3.25
"112" 27.8155 8.4994 3.4039
"113" 14.8907794952393 7.46792316436768 5.7972412109375
"114" 6.76877403259277 12.298418045044 13.2266635894775
"115" 14.7217464447022 7.21060943603516 8.33797073364258
"116" 14.5557098388672 10.3709182739258 6.19368124008179
"117" 35.6532516479492 9.30456161499023 10.5559844970703
"118" 7.35446071624756 12.4035310745239 13.8766794204712
"119" 8.5295 12.122 14.5701
"120" 9.7922 11.7835 15.0885
"121" 11.0689 11.2846 15.3968
"122" 12.2741 10.582 15.5432
"123" 13.2336 9.5852 15.3205
"124" 14.3138 8.7927 14.9663
"125" 15.4329 8.1329 14.4875
"126" 16.1138 7.4116 13.4972
"127" 16.1955 7.0146 12.1687
"128" 15.9605 6.7581 10.8112
"129" 15.386 6.7879 9.5267
"130" 14.75 7.1786 8.3341
"131" 13.8813 7.6958 7.3835
"132" 12.7683 8.3947 6.9024
"133" 11.5088 8.9925 6.7297
"134" 10.2111 9.5416 6.7435
"135" 8.9779 10.0366 7.1629
"136" 7.9271 10.7257 7.7955
"137" 7.0497 11.3062 8.7004
"138" 6.5865 11.6559 9.9745
"139" 6.3703 11.9046 11.3321
"140" 6.6941 12.151 12.6576
"141" 29.6230010986328 16.1738338470459 16.4829177856445
"142" 28.9410629272461 12.0938386917114 12.3436698913574
"143" 10.1171703338623 14.9665870666504 8.93399047851562
"144" 16.0406532287598 15.4090042114258 7.88017749786377
