x;
176;Skull_left_Temporal_emargination_new 12
177;Skull_left_Temporal_emargination_new 13
178;Skull_left_Temporal_emargination_new 14
179;Skull_left_Temporal_emargination_new 15
180;Skull_left_Temporal_emargination_new 16
181;Skull_left_Temporal_emargination_new 17
182;Skull_left_QU-SQ-Temporal-margin
183;Skull_left_Triturating-surf-posterior
184;Skull_left_Triturating-surf 2
185;Skull_left_Triturating-surf 3
186;Skull_left_Triturating-surf 4
187;Skull_left_Triturating-surf 5
188;Skull_left_Triturating-surf 6
189;Skull_left_Triturating-surf 7
190;Skull_left_Triturating-surf 8
191;Skull_left_Triturating-surf 9
192;Skull_median_Anteromedian_triturating_surf
193;33.Left-Triturating-surf-posterior 1
194;1.Skull-anteriormost 1
195;30.Anteromedian-Triturating-surf 1
196;45.BO-BS-medial 1
197;38.BS-anteriormost-dorsal 1
198;37.BS-anteriormost-ventral 1
199;Skull_left_BS-clinoid
200;Skull_median_BS-sella-turcica 2
201;Skull_median_BS-sella-turcica 3
202;Skull_median_BS-sella-turcica 4
203;Skull_median_BS-sella-turcica 5
204;Skull_median_BS-sella-turcica 6
205;Skull_right_BS-clinoid
206;75.Dorsal_foramen_magnum 1
207;2.FR-anteriormost 1
208;Skull_median_Anteriormost
209;Skull_median_midline 2
210;Skull_median_midline 3
211;Skull_median_midline 4
212;Skull_median_midline 5
213;Skull_median_midline 6
214;Skull_median_midline 7
215;Skull_median_midline 8
216;Skull_median_midline 9
217;Skull_median_midline 10
218;Skull_median_midline 11
219;Skull_median_midline 12
220;Skull_median_midline 13
221;Skull_median_midline 14
222;Skull_median_midline 15
223;Skull_median_midline 16
224;Skull_median_midline 17
225;Skull_median_midline 18
226;Skull_median_PA-posteriormost-roof
227;50.Occipital-cond-posterior 1
228;3.PA-anteriormost 1
229;4.PA-posteriormost-roof 1
230;28.PM-anterodorsal 1
231;29.PM-Labial-ridge 1
232;5.SO-posteriormost 1
233;76.Ventral_foramen_magnum 1
234;49.Right-basitubera 1
235;44.Right-BO-BS-lateralmost 1
236;40.Right-BS-clinoid 1
237;Skull_right_Cavum_tympani_posteroventral
238;Skull_right_Cavum-tympani-loop 2
239;Skull_right_Cavum-tympani-loop 3
240;Skull_right_Cavum-tympani-loop 4
241;Skull_right_Cavum-tympani-loop 5
242;Skull_right_Cavum-tympani-loop 6
243;Skull_right_Cavum-tympani-loop 7
244;Skull_right_Cavum-tympani-loop 8
245;Skull_right_Cavum-tympani-loop 9
246;Skull_right_Cavum-tympani-loop 10
247;Skull_right_Cavum-tympani-loop 11
248;Skull_right_Cavum-tympani-loop 12
249;Skull_right_Cavum-tympani-loop 13
250;Skull_right_Cavum-tympani-loop 14
251;Skull_right_Cavum_tympani_posterodorsal
252;53.Right-Cavum_tympani_posterodorsal 1
253;54.Right-Cavum_tympani_posteroventral 1
254;Skull_right_MX-lateroventral
255;Skull_right_Cheek-emargination 2
256;Skull_right_Cheek-emargination 3
257;Skull_right_Cheek-emargination 4
258;Skull_right_Cheek-emargination 5
259;Skull_right_Cheek-emargination 6
260;Skull_right_Cheek-emargination 7
261;Skull_right_QU-posteroventral
262;27.Right-EX-Foramen-magnum 1
263;Skull_median_Anteriormost
264;Skull_right_External-nares 2
265;Skull_right_External-nares 3
266;Skull_right_External-nares 4
267;Skull_right_External-nares 5
268;Skull_right_External-nares 6
269;Skull_right_External-nares 7
270;Skull_right_External-nares 8
271;Skull_right_External-nares 9
272;Skull_right_External-nares 10
273;Skull_right_External-nares 11
274;Skull_median_PM-anterodorsal
275;47.Right-FPCCI 1
276;7.Right-FR-orbit 1
277;70.Right-FR-orbit-posterior 1
278;11.Right-FR-PA-posterolateral 1
279;Skull_median_Dorsal_foramen_magnum
280;Skull_right_half_foramen_magnum 2
281;Skull_right_half_foramen_magnum 3
282;Skull_right_half_foramen_magnum 4
283;Skull_right_half_foramen_magnum 5
284;Skull_right_half_foramen_magnum 6
285;Skull_right_half_foramen_magnum 7
286;Skull_right_half_foramen_magnum 8
287;Skull_right_half_foramen_magnum 9
288;Skull_right_half_foramen_magnum 10
289;Skull_right_half_foramen_magnum 11
290;Skull_median_Ventral_foramen_magnum
291;58.Right-JU-PO-posterior-contact 1
292;Skull_right_MX-lateroventral
293;Skull_right_Labial-ridge 2
294;Skull_right_Labial-ridge 3
295;Skull_right_Labial-ridge 4
296;Skull_right_Labial-ridge 5
297;Skull_right_Labial-ridge 6
298;Skull_right_Labial-ridge 7
299;Skull_right_Labial-ridge 8
300;Skull_right_Labial-ridge 9
301;Skull_right_Labial-ridge 10
302;Skull_right_Labial-ridge 11
303;Skull_right_Labial-ridge 12
304;Skull_right_Labial-ridge 13
305;Skull_median_PM-Labial-ridge
306;Skull_right_Mandibular-cond 1
307;Skull_right_Mandibular-cond 2
308;Skull_right_Mandibular-cond 3
309;Skull_right_Mandibular-cond 4
310;Skull_right_Mandibular-cond 5
311;Skull_right_Mandibular-cond 6
312;Skull_right_Mandibular-cond 7
313;Skull_right_Mandibular-cond 8
314;Skull_right_Mandibular-cond 9
315;Skull_right_Mandibular-cond 10
316;Skull_right_Mandibular-cond 11
317;Skull_right_Mandibular-cond 12
318;Skull_right_Mandibular-cond 13
319;32.Righ-MX-lateroventral 1
320;9.Right-MX-orbit 1
321;71.Right-MX-orbit-posterior 1
322;42.Right-MX-PAL-anterior 1
323;66.Right-OP-posteriormost 1
324;Skull_right_Orbit 1
325;Skull_right_Orbit 2
326;Skull_right_Orbit 3
327;Skull_right_Orbit 4
328;Skull_right_Orbit 5
329;Skull_right_Orbit 6
330;Skull_right_Orbit 7
331;Skull_right_Orbit 8
332;Skull_right_Orbit 9
333;Skull_right_Orbit 10
334;Skull_right_Orbit 11
335;Skull_right_Orbit 12
336;Skull_right_Orbit 13
337;Skull_right_Orbit 14
338;Skull_right_Orbit 15
339;Skull_right_Orbit 16
340;Skull_right_Orbit 17
341;Skull_right_Orbit 18
342;Skull_right_Orbit 19
343;Skull_right_Orbit 20
344;Skull_right_Orbit 21
345;Skull_right_Orbit 22
346;64.Right-PA-SO-posterolateral 1
347;19.Right-PA-SO-PR 1
348;74.Right-PAL-anteromedian 1
349;60.Right-PAL-posteromedian 1
350;62.Right-PT-base-ventral-proc 1
351;17.Right-PO-orbit 1
352;72.Right-PO-orbit-posterior 1
353;56.Right-PR-QU-PT 1
354;Skull_right_QU-PR
355;Skull_right_PR-QU-suture 2
356;Skull_right_PR-QU-suture 3
357;Skull_right_PR-QU-suture 4
358;Skull_right_PR-QU-suture 5
359;Skull_right_PR-QU-suture 6
360;Skull_right_PR-QU-suture 7
361;Skull_right_PR-QU-suture 8
362;Skull_right_PR-QU-suture 9
363;Skull_right_PR-QU-PT
364;36.Right-QU-posteroventral 1
365;23.Right-QU-PR 1
366;15.Right-QU-SQ-Temporal-margin 1
367;25.Right-SO-EX-OP 1
368;21.Right-SO-PR-OP 1
369;13.Right-SQ-posteriormost 1
370;Skull_right_PA-SO-posterolateral
371;Skull_right_Temporal_emargination_new 2
372;Skull_right_Temporal_emargination_new 3
373;Skull_right_Temporal_emargination_new 4
374;Skull_right_Temporal_emargination_new 5
375;Skull_right_Temporal_emargination_new 6
376;Skull_right_Temporal_emargination_new 7
377;Skull_right_Temporal_emargination_new 8
378;Skull_right_Temporal_emargination_new 9
379;Skull_right_Temporal_emargination_new 10
380;Skull_right_Temporal_emargination_new 11
381;Skull_right_Temporal_emargination_new 12
382;Skull_right_Temporal_emargination_new 13
383;Skull_right_Temporal_emargination_new 14
384;Skull_right_Temporal_emargination_new 15
385;Skull_right_Temporal_emargination_new 16
386;Skull_right_Temporal_emargination_new 17
387;Skull_right_QU-SQ-Temporal-margin
388;Skull_right_Triturating-surf-posterior
389;Skull_right_Triturating-surf 2
390;Skull_right_Triturating-surf 3
391;Skull_right_Triturating-surf 4
392;Skull_right_Triturating-surf 5
393;Skull_right_Triturating-surf 6
394;Skull_right_Triturating-surf 7
395;Skull_right_Triturating-surf 8
396;Skull_right_Triturating-surf 9
397;Skull_median_Anteromedian_triturating_surf
398;34.Right-Triturating-surf-posterior 1
399;Surface_condyle_left 1
400;Surface_condyle_left 2
401;Surface_condyle_left 3
402;Surface_condyle_left 4
403;Surface_condyle_left 5
404;Surface_condyle_left 6
405;Surface_condyle_left 7
406;Surface_condyle_left 8
407;Surface_condyle_left 9
408;Surface_condyle_left 10
409;Surface_condyle_left 11
410;Surface_condyle_left 12
411;Surface_condyle_left 13
412;Surface_condyle_left 14
413;Surface_condyle_left 15
414;Surface_condyle_left 16
415;Surface_condyle_left 17
416;Surface_condyle_left 18
417;Surface_condyle_left 19
418;Surface_condyle_left 20
419;Surface_condyle_left 21
420;Surface_condyle_left 22
421;Surface_condyle_left 23
422;Surface_condyle_left 24
423;Surface_condyle_left 25
424;Surface_condyle_left 26
425;Surface_condyle_left 27
426;Surface_condyle_left 28
427;Surface_condyle_left 29
428;Surface_condyle_left 30
429;Surface_condyle_left 31
430;Surface_condyle_left 32
431;Surface_condyle_left 33
432;Surface_condyle_left 34
433;Surface_condyle_left 35
434;Surface_condyle_left 36
435;Surface_condyle_left 37
436;Surface_condyle_left 38
437;Surface_condyle_left 39
438;Surface_condyle_right 1
439;Surface_condyle_right 2
440;Surface_condyle_right 3
441;Surface_condyle_right 4
442;Surface_condyle_right 5
443;Surface_condyle_right 6
444;Surface_condyle_right 7
445;Surface_condyle_right 8
446;Surface_condyle_right 9
447;Surface_condyle_right 10
448;Surface_condyle_right 11
449;Surface_condyle_right 12
450;Surface_condyle_right 13
451;Surface_condyle_right 14
452;Surface_condyle_right 15
453;Surface_condyle_right 16
454;Surface_condyle_right 17
455;Surface_condyle_right 18
456;Surface_condyle_right 19
457;Surface_condyle_right 20
458;Surface_condyle_right 21
459;Surface_condyle_right 22
460;Surface_condyle_right 23
461;Surface_condyle_right 24
462;Surface_condyle_right 25
463;Surface_condyle_right 26
464;Surface_condyle_right 27
465;Surface_condyle_right 28
466;Surface_condyle_right 29
467;Surface_condyle_right 30
468;Surface_condyle_right 31
469;Surface_condyle_right 32
470;Surface_condyle_right 33
471;Surface_condyle_right 34
472;Surface_condyle_right 35
473;Surface_condyle_right 36
474;Surface_condyle_right 37
475;Surface_condyle_right 38
476;Surface_condyle_right 39
477;Surface_condyle_right 40
478;Surface_condyle_right 41
479;Surface_condyle_right 42
480;Surface_condyle_right 43
481;Surface_condyle_right 44
482;Surface_condyle_right 45
483;Surface_condyle_right 46
484;Surface_palate_left 1
485;Surface_palate_left 2
