Taxon;Specimen;Source;Type;full_dataset;partial_dataset;Seeds_fruits;Flowers;Stems;Terrestrial_leaves;Aquatic_leaves;Fungi;Vertebrates;Jellyfish;Aquatic_insects;Terrestrial_arthropods;Worms;Mollusks;Crustaceans;Mostly_vegetable_matter (herbivory);Mostly_animal_matter (carnivory);Mostly_hard_food (durophagy);Feed_on_water;Feed_on_land;Suction_feeding;Marine;Open_swimmer;Food_hardness;Food_evasiveness;Neck_retraction;Side_neck;Body_size;Neck_ratio;Reference (body size);Clade;Reference (diet)*;Reference (marine)*;Reference (neck)*;File_name
Eochelone_brabantica;IRSN BR 0061;CT data available via RBINS Virtual Collections;Fossil;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Chelonioidea;-;-;-;Eochelone_brabantica_IRSNBR0061
Eubaena_cephalica;DMNH 96004;CT data avilable under Morphosource Media ID 000056542;Fossil;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Stem;-;-;-;Eubaena_cephalica_DMNH96004
Galianemys_emringeri;AMNH 30035;CT data avilable under Morphosource Media ID 000351794;Fossil;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Pelomedusoides;-;-;-;Galianemys_emringeri_AMNH30035
Jurassichelon_oleronensis;PIMUZ AIII 514;no permission for upload, scan was shared with us by J. Anquetin;Fossil;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Stem;-;-;-;Jurassichelon_oleronensis_PIMUZAIII514
Labrostochelys_galkini;AMNH 30043;CT data avilable under Morphosource Media ID 000351829;Fossil;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Pelomedusoides;-;-;-;Labrostochelys_galkini_AMNH30043
Lapparentemys_vilavilensis;AMNH 14444;CT data avilable under Morphosource Media ID 000351836;Fossil;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Pelomedusoides;-;-;-;Lapparentemys_vilavilensis_AMNH14444
Sahonachelys_mailakavava;UA 10581;CT data avilable under Morphosource Media ID 000170553;Fossil;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Pelomedusoides;-;-;-;Sahonachelys_mailakavava_UA_10581
Phosphatochelys_tedfordi;AMNH 30008;CT data avilable under Morphosource Media ID 000352697;Fossil;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Pelomedusoides;-;-;-;Phosphatochelys_tedfordi_AMNH30008
Puppigerus_camperi;IRSN BR 0076;CT data available via RBINS Virtual Collections;Fossil;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Chelonioidea;-;-;-;Puppigerus_camperi_IRSNBR0076
Rhinochelys_pulchriceps;CAMSM B55783;CT data avilable under Morphosource Media ID 000043003;Fossil;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Chelonioidea;-;-;-;Rhinochelys_pulchriceps_CAMSMB55783
Sandownia_harrisi;MIWG 3480;CT data avilable under Morphosource Media ID 000042933;Fossil;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Stem;-;-;-;Sandownia_harrisi_MIWG3480
Ummulisani_rutgersensis;AMNH 30569;CT data avilable under Morphosource Media ID 000351895;Fossil;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Pelomedusoides;-;-;-;Ummulisani_rutgersensis_AMNH30569
