x;
203;Surface_palate_left 15
204;Surface_palate_left 16
205;Surface_palate_left 17
206;Surface_palate_left 18
207;Surface_palate_left 19
208;Surface_palate_left 20
209;Surface_palate_left 21
210;Surface_palate_left 22
211;Surface_palate_left 23
212;Surface_palate_left 24
213;Surface_palate_left 25
214;Surface_palate_left 26
215;Surface_palate_left 27
216;Surface_palate_left 28
217;Surface_palate_left 29
218;Surface_palate_left 30
219;Surface_palate_left 31
220;Surface_palate_left 32
221;Surface_palate_left 33
222;Surface_palate_left 34
223;Surface_palate_left 35
224;Surface_palate_left 36
225;Surface_palate_left 37
226;Surface_palate_left 38
227;Surface_palate_left 39
228;Surface_palate_left 40
229;Surface_palate_left 41
230;Surface_palate_left 42
231;Surface_palate_left 43
232;Surface_palate_left 44
233;Surface_palate_left 45
234;Surface_palate_left 46
235;Surface_palate_left 47
236;Surface_palate_left 48
237;Surface_palate_left 49
238;Surface_palate_left 50
239;Surface_palate_left 51
240;Surface_palate_left 52
241;Surface_palate_left 53
242;Surface_palate_left 54
243;Surface_palate_left 55
244;Surface_palate_left 56
245;Surface_palate_left 57
246;Surface_palate_left 58
247;Surface_palate_left 59
248;Surface_palate_left 60
249;Surface_palate_left 61
250;Surface_palate_left 62
251;Surface_palate_left 63
252;Surface_palate_left 64
253;Surface_palate_left 65
254;Surface_palate_left 66
255;Surface_palate_left 67
256;Surface_palate_left 68
257;Surface_palate_left 69
258;Surface_palate_left 70
259;Surface_palate_left 71
260;Surface_palate_left 72
261;Surface_palate_left 73
262;Surface_palate_left 74
263;Surface_palate_left 75
264;Surface_palate_left 76
265;Surface_palate_left 77
266;Surface_palate_left 78
267;Surface_palate_left 79
268;Surface_palate_left 80
269;Surface_palate_left 81
270;Surface_palate_left 82
271;Surface_palate_left 83
272;Surface_palate_left 84
273;Surface_palate_left 85
274;Surface_palate_left 86
275;Surface_palate_left 87
276;Surface_palate_left 88
277;Surface_palate_left 89
278;Surface_palate_left 90
279;Surface_palate_left 91
280;Surface_palate_left 92
281;Surface_palate_left 93
282;Surface_palate_left 94
283;Surface_palate_left 95
284;Surface_palate_left 96
285;Surface_palate_left 97
286;Surface_palate_left 98
287;Surface_palate_left 99
288;Surface_palate_left 100
289;Surface_palate_left 101
290;Surface_palate_left 102
291;Surface_palate_left 103
292;Surface_palate_left 104
293;Surface_palate_left 105
294;Surface_palate_left 106
295;Surface_palate_left 107
296;Surface_palate_left 108
297;Surface_palate_left 109
298;Surface_palate_left 110
299;Surface_palate_right 1
300;Surface_palate_right 2
301;Surface_palate_right 3
302;Surface_palate_right 4
303;Surface_palate_right 5
304;Surface_palate_right 6
305;Surface_palate_right 7
306;Surface_palate_right 8
307;Surface_palate_right 9
308;Surface_palate_right 10
309;Surface_palate_right 11
310;Surface_palate_right 12
311;Surface_palate_right 13
312;Surface_palate_right 14
313;Surface_palate_right 15
314;Surface_palate_right 16
315;Surface_palate_right 17
316;Surface_palate_right 18
317;Surface_palate_right 19
318;Surface_palate_right 20
319;Surface_palate_right 21
320;Surface_palate_right 22
321;Surface_palate_right 23
322;Surface_palate_right 24
323;Surface_palate_right 25
324;Surface_palate_right 26
